Date,Close,,Date,Close,,Date,Close
29/03/2025 23:58:00,84261.42,,29/03/2025 23:58:00,1895.8636,,29/03/2025 23:58:00,129.4324
30/03/2025 23:58:00,83184.34,,30/03/2025 23:58:00,1827.4434,,30/03/2025 23:58:00,124.5888
31/03/2025 23:58:00,81559.22,,31/03/2025 23:58:00,1806.7074,,31/03/2025 23:58:00,124.6661
01/04/2025 23:58:00,82963.95,,01/04/2025 23:58:00,1822.3431,,01/04/2025 23:58:00,124.6577
02/04/2025 23:58:00,84598.74,,02/04/2025 23:58:00,1905.3194,,02/04/2025 23:58:00,126.6829
03/04/2025 23:58:00,83479.15,,03/04/2025 23:58:00,1794.8779,,03/04/2025 23:58:00,117.7362
04/04/2025 23:58:00,82740.93,,04/04/2025 23:58:00,1816.4149,,04/04/2025 23:58:00,117.0533
05/04/2025 23:58:00,83624.02,,05/04/2025 23:58:00,1815.4492,,05/04/2025 23:58:00,122.7863
06/04/2025 23:58:00,83332.85,,06/04/2025 23:58:00,1806.0908,,06/04/2025 23:58:00,120.2721
07/04/2025 23:58:00,77555.34,,07/04/2025 23:58:00,1579.0905,,07/04/2025 23:58:00,105.7334
09/04/2025 23:58:00,75004.68,,08/04/2025 23:58:00,1552.0201,,08/04/2025 23:58:00,106.8837
10/04/2025 23:58:00,81681,,09/04/2025 23:58:00,1471.9443,,09/04/2025 23:58:00,105.4473
11/04/2025 23:58:00,80721.91,,10/04/2025 23:58:00,1668.859,,10/04/2025 23:58:00,119.0826
12/04/2025 23:58:00,82944.43,,11/04/2025 23:58:00,1521.4977,,11/04/2025 23:58:00,112.7961
13/04/2025 23:58:00,85434.14,,12/04/2025 23:58:00,1566.1546,,12/04/2025 23:58:00,121.5142
14/04/2025 23:58:00,84549.55,,13/04/2025 23:58:00,1643.7982,,13/04/2025 23:58:00,132.2686
15/04/2025 23:58:00,85358.06,,14/04/2025 23:58:00,1596.8367,,14/04/2025 23:58:00,128.5757
16/04/2025 23:58:00,83726.81,,15/04/2025 23:58:00,1623.1192,,15/04/2025 23:58:00,129.2982
17/04/2025 23:58:00,84030.1,,16/04/2025 23:58:00,1588.8276,,16/04/2025 23:58:00,126.238
18/04/2025 23:58:00,84815.62,,17/04/2025 23:58:00,1577.2412,,17/04/2025 23:58:00,131.462
19/04/2025 23:58:00,84841.2,,18/04/2025 23:58:00,1582.98,,18/04/2025 23:58:00,134.7368
20/04/2025 23:58:00,85115.07,,19/04/2025 23:58:00,1588.7273,,19/04/2025 23:58:00,134.0698
21/04/2025 23:58:00,87152.38,,20/04/2025 23:58:00,1613.1206,,20/04/2025 23:58:00,139.7714
22/04/2025 23:58:00,88107.6,,21/04/2025 23:58:00,1587.3288,,21/04/2025 23:58:00,137.7768
23/04/2025 23:58:00,93210.55,,22/04/2025 23:58:00,1579.4935,,22/04/2025 23:58:00,136.6838
24/04/2025 23:58:00,92733.36,,23/04/2025 23:58:00,1756.9004,,23/04/2025 23:58:00,148.7438
25/04/2025 23:58:00,93348.03,,24/04/2025 23:58:00,1796.0691,,24/04/2025 23:58:00,151.1532
26/04/2025 23:58:00,94847.29,,25/04/2025 23:58:00,1770.0125,,25/04/2025 23:58:00,152.3482
27/04/2025 23:58:00,94225.3,,26/04/2025 23:58:00,1786.1962,,26/04/2025 23:58:00,150.9138
28/04/2025 23:58:00,93911.89,,27/04/2025 23:58:00,1821.7589,,27/04/2025 23:58:00,149.302
29/04/2025 23:58:00,94717.11,,28/04/2025 23:58:00,1791.9918,,28/04/2025 23:58:00,148.2345
30/04/2025 23:58:00,95041.93,,29/04/2025 23:58:00,1800.1999,,29/04/2025 23:58:00,147.8192
01/05/2025 23:58:00,94808.49,,30/04/2025 23:58:00,1798.653,,30/04/2025 23:58:00,146.4017
02/05/2025 23:58:00,97111.77,,01/05/2025 23:58:00,1794.0542,,01/05/2025 23:58:00,147.6274
03/05/2025 23:58:00,96432.45,,02/05/2025 23:58:00,1838.7526,,02/05/2025 23:58:00,150.8551
04/05/2025 23:58:00,95856.14,,03/05/2025 23:58:00,1842.6998,,03/05/2025 23:58:00,148.0509
05/05/2025 23:58:00,94255.16,,04/05/2025 23:58:00,1833.8264,,04/05/2025 23:58:00,146.7912
06/05/2025 23:58:00,94489.1,,05/05/2025 23:58:00,1808.7154,,05/05/2025 23:58:00,143.9898
07/05/2025 23:58:00,96515.11,,06/05/2025 23:58:00,1819.938,,06/05/2025 23:58:00,146.6842
08/05/2025 23:58:00,99109.44,,07/05/2025 23:58:00,1816.7296,,07/05/2025 23:58:00,146.7874
09/05/2025 23:58:00,102384.2,,08/05/2025 23:58:00,1811.557,,08/05/2025 23:58:00,147.2203
10/05/2025 23:58:00,103161.7,,09/05/2025 23:58:00,2207.2733,,09/05/2025 23:58:00,164.0663
11/05/2025 23:58:00,103995.7,,10/05/2025 23:58:00,2345.3199,,10/05/2025 23:58:00,172.8267
12/05/2025 23:58:00,104013.1,,11/05/2025 23:58:00,2583.4157,,11/05/2025 23:58:00,177.6784
13/05/2025 23:58:00,101727,,12/05/2025 23:58:00,2514.736,,12/05/2025 23:58:00,173.0356
14/05/2025 23:58:00,103560.3,,13/05/2025 23:58:00,2496.0772,,13/05/2025 23:58:00,174.2507
15/05/2025 23:58:00,102821.2,,14/05/2025 23:58:00,2680.2341,,14/05/2025 23:58:00,183.9972
16/05/2025 23:58:00,104050.1,,15/05/2025 23:58:00,2610.0971,,15/05/2025 23:58:00,176.7127
17/05/2025 23:58:00,103536.5,,16/05/2025 23:58:00,2548.0833,,16/05/2025 23:58:00,169.0221
18/05/2025 23:58:00,103298,,17/05/2025 23:58:00,2537.7818,,17/05/2025 23:58:00,167.348
19/05/2025 23:58:00,103640.2,,18/05/2025 23:58:00,2475.7237,,18/05/2025 23:58:00,165.9292
20/05/2025 23:58:00,105707.1,,19/05/2025 23:58:00,2499.6984,,19/05/2025 23:58:00,173.785
21/05/2025 23:58:00,106859.6,,20/05/2025 23:58:00,2528.6033,,20/05/2025 23:58:00,166.8537
22/05/2025 23:58:00,111681.7,,21/05/2025 23:58:00,2524.7441,,21/05/2025 23:58:00,168.4923
23/05/2025 23:58:00,111088.5,,22/05/2025 23:58:00,2551.8429,,22/05/2025 23:58:00,173.6663
24/05/2025 23:58:00,108333.4,,23/05/2025 23:58:00,2664.7045,,23/05/2025 23:58:00,179.6981
25/05/2025 23:58:00,108096.5,,24/05/2025 23:58:00,2526.5268,,24/05/2025 23:58:00,173.7909
26/05/2025 23:58:00,109641.5,,25/05/2025 23:58:00,2530.1318,,25/05/2025 23:58:00,176.0304
27/05/2025 23:58:00,108927.6,,26/05/2025 23:58:00,2551.9498,,26/05/2025 23:58:00,175.7114
28/05/2025 23:58:00,108877.1,,27/05/2025 23:58:00,2564.5004,,27/05/2025 23:58:00,174.9174
29/05/2025 23:58:00,108043.4,,28/05/2025 23:58:00,2662.1276,,28/05/2025 23:58:00,176.808
30/05/2025 23:58:00,106021.6,,29/05/2025 23:58:00,2681.9375,,29/05/2025 23:58:00,172.1935
31/05/2025 23:58:00,103735.2,,30/05/2025 23:58:00,2631.6787,,30/05/2025 23:58:00,166.5968
01/06/2025 23:58:00,104494.5,,31/05/2025 23:58:00,2531.0975,,31/05/2025 23:58:00,156.2489
02/06/2025 23:58:00,104914.5,,01/06/2025 23:58:00,2529.1818,,01/06/2025 23:58:00,156.6069
03/06/2025 23:58:00,105551.6,,02/06/2025 23:58:00,2538.9742,,02/06/2025 23:58:00,157.7803
04/06/2025 23:58:00,105625.9,,03/06/2025 23:58:00,2607.6023,,03/06/2025 23:58:00,156.9885
